Athlete,Event,Meet,Year,Competition,ResultTime,Rank,ReactionTime,Lane,Temperature,Humidity,Wind,Records,1000_split,2000_split,3000_split,4000_split,gender
Beatrice CHEBET,5000m Women,London Athletics Meet,2023,Diamond League,852.9,2,,,23.0,57.0,,PB,171.8,342.6,515.2,688.2,1
Sifan HASSAN,5000m Women,London Athletics Meet,2023,Diamond League,853.4,3,,,23.0,57.0,,AR|PB,171.8,342.6,515.2,688.2,1
Medina EISA,5000m Women,London Athletics Meet,2023,Diamond League,856.5,4,,,23.0,57.0,,WU20R,171.8,342.6,515.2,688.2,1
Alicia MONSON,5000m Women,London Athletics Meet,2023,Diamond League,859.5,5,,,23.0,57.0,,AR|PB,171.8,342.6,515.2,688.2,1
Birke HAYLOM,5000m Women,London Athletics Meet,2023,Diamond League,877.9,6,,,23.0,57.0,,,171.8,342.6,515.2,688.2,1
Melknat WUDU,5000m Women,London Athletics Meet,2023,Diamond League,879.4,7,,,23.0,57.0,,PB,171.8,342.6,515.2,688.2,1
Nadia BATTOCLETTI,5000m Women,London Athletics Meet,2023,Diamond League,881.3,8,,,23.0,57.0,,NR|PB,171.8,342.6,515.2,688.2,1
Karoline Bjerkeli GRÃ˜VDAL,5000m Women,London Athletics Meet,2023,Diamond League,885.2,9,,,23.0,57.0,,,171.8,342.6,515.2,688.2,1
Senayet GETACHEW,5000m Women,London Athletics Meet,2023,Diamond League,886.2,10,,,23.0,57.0,,PB,171.8,342.6,515.2,688.2,1
Elly HENES,5000m Women,London Athletics Meet,2023,Diamond League,887.2,11,,,23.0,57.0,,PB,171.8,342.6,515.2,688.2,1
Maureen KOSTER,5000m Women,London Athletics Meet,2023,Diamond League,887.5,12,,,23.0,57.0,,PB,171.8,342.6,515.2,688.2,1
Teresiah Muthoni GATERI,5000m Women,London Athletics Meet,2023,Diamond League,893.6,13,,,23.0,57.0,,SB,171.8,342.6,515.2,688.2,1
Girmawit GEBRZIHAIR,5000m Women,London Athletics Meet,2023,Diamond League,894.0,14,,,23.0,57.0,,,171.8,342.6,515.2,688.2,1
Megan KEITH,5000m Women,London Athletics Meet,2023,Diamond League,897.0,15,,,23.0,57.0,,PB,171.8,342.6,515.2,688.2,1
Josette ANDREWS,5000m Women,London Athletics Meet,2023,Diamond League,904.4,16,,,23.0,57.0,,,171.8,342.6,515.2,688.2,1
Jessica JUDD,5000m Women,London Athletics Meet,2023,Diamond League,906.2,17,,,23.0,57.0,,SB,171.8,342.6,515.2,688.2,1
Hagos GEBRHIWET,5000m Men,Herculis,2023,Diamond League,762.2,1,,,28.0,59.0,,PB,152.6,305.8,458.7,613.6,0
Berihu AREGAWI,5000m Men,Herculis,2023,Diamond League,762.6,2,,,28.0,59.0,,,152.6,305.8,458.7,613.6,0
Telahun Haile BEKELE,5000m Men,Herculis,2023,Diamond League,762.7,3,,,28.0,59.0,,PB,152.6,305.8,458.7,613.6,0
Mohamed KATIR,5000m Men,Herculis,2023,Diamond League,765.0,4,,,28.0,59.0,,AR|PB,152.6,305.8,458.7,613.6,0
Jacob KROP,5000m Men,Herculis,2023,Diamond League,766.0,5,,,28.0,59.0,,SB,152.6,305.8,458.7,613.6,0
Jacob KIPLIMO,5000m Men,Herculis,2023,Diamond League,768.8,6,,,28.0,59.0,,,152.6,305.8,458.7,613.6,0
Nicholas KIPKORIR,5000m Men,Herculis,2023,Diamond League,775.5,7,,,28.0,59.0,,SB,152.6,305.8,458.7,613.6,0
Thierry NDIKUMWENAYO,5000m Men,Herculis,2023,Diamond League,775.5,8,,,28.0,59.0,,PB,152.6,305.8,458.7,613.6,0
Jimmy GRESSIER,5000m Men,Herculis,2023,Diamond League,776.1,9,,,28.0,59.0,,NR|PB,152.6,305.8,458.7,613.6,0
Mohammed AHMED,5000m Men,Herculis,2023,Diamond League,781.6,10,,,28.0,59.0,,,152.6,305.8,458.7,613.6,0
Cornelius KEMBOI,5000m Men,Herculis,2023,Diamond League,781.8,11,,,28.0,59.0,,,152.6,305.8,458.7,613.6,0
Yann SCHRUB,5000m Men,Herculis,2023,Diamond League,798.0,12,,,28.0,59.0,,,152.6,305.8,458.7,613.6,0
Cooper TEARE,5000m Men,Herculis,2023,Diamond League,799.4,13,,,28.0,59.0,,,152.6,305.8,458.7,613.6,0
Samuel TEFERA,5000m Men,Herculis,2023,Diamond League,802.2,14,,,28.0,59.0,,,152.6,305.8,458.7,613.6,0
Kuma GIRMA,5000m Men,Herculis,2023,Diamond League,823.6,15,,,28.0,59.0,,,152.6,305.8,458.7,613.6,0
Yomif KEJELCHA,5000m Men,Bislett Games,2023,Diamond League,761.7,1,,,26.0,38.0,,MR|WL|PB,154.8,310.9,467.2,617.5,0
Jacob KIPLIMO,5000m Men,Bislett Games,2023,Diamond League,761.7,2,,,26.0,38.0,,MR|WL|PB,154.8,310.9,467.2,617.5,0
Telahun Haile BEKELE,5000m Men,Bislett Games,2023,Diamond League,766.2,3,,,26.0,38.0,,PB,154.8,310.9,467.2,617.5,0
Joe KLECKER,5000m Men,Bislett Games,2023,Diamond League,776.6,4,,,26.0,38.0,,,154.8,310.9,467.2,617.5,0
Luis GRIJALVA,5000m Men,Bislett Games,2023,Diamond League,776.6,5,,,26.0,38.0,,,154.8,310.9,467.2,617.5,0
Thierry NDIKUMWENAYO,5000m Men,Bislett Games,2023,Diamond League,778.6,6,,,26.0,38.0,,PB,154.8,310.9,467.2,617.5,0
Samuel TEFERA,5000m Men,Bislett Games,2023,Diamond League,782.1,7,,,26.0,38.0,,,154.8,310.9,467.2,617.5,0
Ishmael Rokitto KIPKURUI,5000m Men,Bislett Games,2023,Diamond League,785.5,8,,,26.0,38.0,,PB,154.8,310.9,467.2,617.5,0
Paul CHELIMO,5000m Men,Bislett Games,2023,Diamond League,786.8,9,,,26.0,38.0,,SB,154.8,310.9,467.2,617.5,0
Magnus Tuv MYHRE,5000m Men,Bislett Games,2023,Diamond League,789.4,10,,,26.0,38.0,,PB,154.8,310.9,467.2,617.5,0
Henrik INGEBRIGTSEN,5000m Men,Bislett Games,2023,Diamond League,798.0,11,,,26.0,38.0,,,154.8,310.9,467.2,617.5,0
Adel MECHAAL,5000m Men,Bislett Games,2023,Diamond League,802.3,12,,,26.0,38.0,,SB,154.8,310.9,467.2,617.5,0
Cornelius KEMBOI,5000m Men,Bislett Games,2023,Diamond League,802.4,13,,,26.0,38.0,,,154.8,310.9,467.2,617.5,0
Zerei Kbrom MEZNGI,5000m Men,Bislett Games,2023,Diamond League,807.3,14,,,26.0,38.0,,PB,154.8,310.9,467.2,617.5,0
Awet Nftalem KIBRAB,5000m Men,Bislett Games,2023,Diamond League,811.0,15,,,26.0,38.0,,,154.8,310.9,467.2,617.5,0
Jack RAYNER,5000m Men,Bislett Games,2023,Diamond League,818.1,16,,,26.0,38.0,,SB,154.8,310.9,467.2,617.5,0
Faith KIPYEGON,5000m Women,Meeting de Paris,2023,Diamond League,845.2,1,,,27.0,47.0,,WR,172.3,342.0,511.9,681.9,1
Letesenbet GIDEY,5000m Women,Meeting de Paris,2023,Diamond League,847.9,2,,,27.0,47.0,,SB,172.3,342.0,511.9,681.9,1
Ejgayehu TAYE,5000m Women,Meeting de Paris,2023,Diamond League,853.3,3,,,27.0,47.0,,SB,172.3,342.0,511.9,681.9,1
Lilian Kasait RENGERUK,5000m Women,Meeting de Paris,2023,Diamond League,863.0,4,,,27.0,47.0,,PB,172.3,342.0,511.9,681.9,1
Freweyni HAILU,5000m Women,Meeting de Paris,2023,Diamond League,863.5,5,,,27.0,47.0,,SB,172.3,342.0,511.9,681.9,1
Margaret Chelimo KIPKEMBOI,5000m Women,Meeting de Paris,2023,Diamond League,863.7,6,,,27.0,47.0,,PB,172.3,342.0,511.9,681.9,1
Lemlem HAILU,5000m Women,Meeting de Paris,2023,Diamond League,874.5,7,,,27.0,47.0,,PB,172.3,342.0,511.9,681.9,1
Alicia MONSON,5000m Women,Meeting de Paris,2023,Diamond League,874.9,8,,,27.0,47.0,,SB,172.3,342.0,511.9,681.9,1
Agnes Jebet NGETICH,5000m Women,Meeting de Paris,2023,Diamond League,876.7,9,,,27.0,47.0,,PB,172.3,342.0,511.9,681.9,1
Grace Loibach NAWOWUNA,5000m Women,Meeting de Paris,2023,Diamond League,882.6,10,,,27.0,47.0,,PB,172.3,342.0,511.9,681.9,1
Laura MUIR,5000m Women,Meeting de Paris,2023,Diamond League,888.1,11,,,27.0,47.0,,PB,172.3,342.0,511.9,681.9,1
Elly HENES,5000m Women,Meeting de Paris,2023,Diamond League,904.5,12,,,27.0,47.0,,,172.3,342.0,511.9,681.9,1
Whittni MORGAN,5000m Women,Meeting de Paris,2023,Diamond League,920.6,13,,,27.0,47.0,,SB,172.3,342.0,511.9,681.9,1
Mohamed KATIR,5000m Men,Golden Gala,2023,Diamond League,772.1,1,,,18.0,86.0,,WL,155.1,311.8,470.6,627.9,0
Yomif KEJELCHA,5000m Men,Golden Gala,2023,Diamond League,772.1,2,,,18.0,86.0,,SB,155.1,311.8,470.6,627.9,0
Luis GRIJALVA,5000m Men,Golden Gala,2023,Diamond League,773.0,3,,,18.0,86.0,,NR|PB,155.1,311.8,470.6,627.9,0
Joshua CHEPTEGEI,5000m Men,Golden Gala,2023,Diamond League,773.8,4,,,18.0,86.0,,SB,155.1,311.8,470.6,627.9,0
Telahun Haile BEKELE,5000m Men,Golden Gala,2023,Diamond League,774.3,5,,,18.0,86.0,,SB,155.1,311.8,470.6,627.9,0
William KINCAID,5000m Men,Golden Gala,2023,Diamond League,774.4,6,,,18.0,86.0,,PB,155.1,311.8,470.6,627.9,0
Joe KLECKER,5000m Men,Golden Gala,2023,Diamond League,775.2,7,,,18.0,86.0,,PB,155.1,311.8,470.6,627.9,0
Jacob KROP,5000m Men,Golden Gala,2023,Diamond League,775.6,8,,,18.0,86.0,,SB,155.1,311.8,470.6,627.9,0
Selemon BAREGA,5000m Men,Golden Gala,2023,Diamond League,776.2,9,,,18.0,86.0,,SB,155.1,311.8,470.6,627.9,0
Mohammed AHMED,5000m Men,Golden Gala,2023,Diamond League,776.5,10,,,18.0,86.0,,SB,155.1,311.8,470.6,627.9,0
Grant FISHER,5000m Men,Golden Gala,2023,Diamond League,777.0,11,,,18.0,86.0,,SB,155.1,311.8,470.6,627.9,0
Samuel TEFERA,5000m Men,Golden Gala,2023,Diamond League,778.4,12,,,18.0,86.0,,PB,155.1,311.8,470.6,627.9,0
Thierry NDIKUMWENAYO,5000m Men,Golden Gala,2023,Diamond League,779.0,13,,,18.0,86.0,,PB,155.1,311.8,470.6,627.9,0
Berihu AREGAWI,5000m Men,Golden Gala,2023,Diamond League,784.5,14,,,18.0,86.0,,SB,155.1,311.8,470.6,627.9,0
Nicholas KIPKORIR,5000m Men,Golden Gala,2023,Diamond League,790.5,15,,,18.0,86.0,,SB,155.1,311.8,470.6,627.9,0
Stewart MCSWEYN,5000m Men,Golden Gala,2023,Diamond League,803.8,16,,,18.0,86.0,,SB,155.1,311.8,470.6,627.9,0
Beatrice CHEBET,5000m Women,BAUHAUS-galan,2023,Diamond League,876.5,1,,,25.0,84.0,,SB,173.7,352.7,531.3,708.8,1
Lemlem HAILU,5000m Women,BAUHAUS-galan,2023,Diamond League,878.1,2,,,25.0,84.0,,,173.7,352.7,531.3,708.8,1
Medina EISA,5000m Women,BAUHAUS-galan,2023,Diamond League,880.0,3,,,25.0,84.0,,PB,173.7,352.7,531.3,708.8,1
Sarah CHELANGAT,5000m Women,BAUHAUS-galan,2023,Diamond League,880.9,4,,,25.0,84.0,,NR|PB,173.7,352.7,531.3,708.8,1
Jessica HULL,5000m Women,BAUHAUS-galan,2023,Diamond League,884.2,5,,,25.0,84.0,,SB,173.7,352.7,531.3,708.8,1
Tsigie GEBRESELAMA,5000m Women,BAUHAUS-galan,2023,Diamond League,884.9,6,,,25.0,84.0,,SB,173.7,352.7,531.3,708.8,1
Melknat WUDU,5000m Women,BAUHAUS-galan,2023,Diamond League,887.5,7,,,25.0,84.0,,PB,173.7,352.7,531.3,708.8,1
Axumawit EMBAYE,5000m Women,BAUHAUS-galan,2023,Diamond League,904.4,8,,,25.0,84.0,,SB,173.7,352.7,531.3,708.8,1
Jessica JUDD,5000m Women,BAUHAUS-galan,2023,Diamond League,906.6,9,,,25.0,84.0,,SB,173.7,352.7,531.3,708.8,1
Sarah LAHTI,5000m Women,BAUHAUS-galan,2023,Diamond League,906.8,10,,,25.0,84.0,,SB,173.7,352.7,531.3,708.8,1
Maureen KOSTER,5000m Women,BAUHAUS-galan,2023,Diamond League,907.1,11,,,25.0,84.0,,SB,173.7,352.7,531.3,708.8,1
Tsiyon ABEBE,5000m Women,BAUHAUS-galan,2023,Diamond League,907.5,12,,,25.0,84.0,,PB,173.7,352.7,531.3,708.8,1
Abersh MINSEWO,5000m Women,BAUHAUS-galan,2023,Diamond League,910.1,13,,,25.0,84.0,,SB,173.7,352.7,531.3,708.8,1
Konstanze KLOSTERHALFEN,5000m Women,BAUHAUS-galan,2023,Diamond League,913.1,14,,,25.0,84.0,,SB,173.7,352.7,531.3,708.8,1
Yomif KEJELCHA,5000m Men,Weltklasse Zurich,2023,Diamond League,766.9,1,,,15.0,88.0,,,152.5,307.8,463.2,614.9,0
Selemon BAREGA,5000m Men,Weltklasse Zurich,2023,Diamond League,774.2,2,,,15.0,88.0,,SB,152.5,307.8,463.2,614.9,0
Grant FISHER,5000m Men,Weltklasse Zurich,2023,Diamond League,774.5,3,,,15.0,88.0,,SB,152.5,307.8,463.2,614.9,0
Luis GRIJALVA,5000m Men,Weltklasse Zurich,2023,Diamond League,775.9,4,,,15.0,88.0,,,152.5,307.8,463.2,614.9,0
Domnic Lokinyomo LOBALU,5000m Men,Weltklasse Zurich,2023,Diamond League,787.0,5,,,15.0,88.0,,SB,152.5,307.8,463.2,614.9,0
Brian FAY,5000m Men,Weltklasse Zurich,2023,Diamond League,804.6,6,,,15.0,88.0,,,152.5,307.8,463.2,614.9,0
Jonas RAESS,5000m Men,Weltklasse Zurich,2023,Diamond League,807.1,7,,,15.0,88.0,,,152.5,307.8,463.2,614.9,0
Etienne DAGUINOS,5000m Men,Weltklasse Zurich,2023,Diamond League,809.2,8,,,15.0,88.0,,,152.5,307.8,463.2,614.9,0
Henrik INGEBRIGTSEN,5000m Men,Weltklasse Zurich,2023,Diamond League,818.9,9,,,15.0,88.0,,,152.5,307.8,463.2,614.9,0
Berihu AREGAWI,5000m Men,Memorial Van Damme,2024,Diamond League,763.7,1,,,13.0,81.0,,SB,154.2,308.2,462.1,616.5,0
Hagos GEBRHIWET,5000m Men,Memorial Van Damme,2024,Diamond League,764.3,2,,,13.0,81.0,,,154.2,308.2,462.1,616.5,0
Telahun Haile BEKELE,5000m Men,Memorial Van Damme,2024,Diamond League,765.6,3,,,13.0,81.0,,SB,154.2,308.2,462.1,616.5,0
Nicholas KIPKORIR,5000m Men,Memorial Van Damme,2024,Diamond League,769.6,4,,,13.0,81.0,,SB,154.2,308.2,462.1,616.5,0
Yomif KEJELCHA,5000m Men,Memorial Van Damme,2024,Diamond League,771.2,5,,,13.0,81.0,,,154.2,308.2,462.1,616.5,0
Isaac KIMELI,5000m Men,Memorial Van Damme,2024,Diamond League,778.2,6,,,13.0,81.0,,,154.2,308.2,462.1,616.5,0
Jacob KROP,5000m Men,Memorial Van Damme,2024,Diamond League,782.4,7,,,13.0,81.0,,,154.2,308.2,462.1,616.5,0
Cornelius KEMBOI,5000m Men,Memorial Van Damme,2024,Diamond League,785.9,8,,,13.0,81.0,,,154.2,308.2,462.1,616.5,0
Dominic Lokinyomo LOBALU,5000m Men,Memorial Van Damme,2024,Diamond League,789.2,9,,,13.0,81.0,,,154.2,308.2,462.1,616.5,0
Ronald KWEMOI,5000m Men,Memorial Van Damme,2024,Diamond League,815.8,10,,,13.0,81.0,,,154.2,308.2,462.1,616.5,0
Beatrice CHEBET,5000m Women,Memorial Van Damme,2024,Diamond League,849.8,1,,,13.0,72.0,,MR,172.4,341.3,511.1,682.1,1
Medina EISA,5000m Women,Memorial Van Damme,2024,Diamond League,861.9,2,,,13.0,72.0,,WU20R,172.4,341.3,511.1,682.1,1
Fotyen TESFAY,5000m Women,Memorial Van Damme,2024,Diamond League,868.5,3,,,13.0,72.0,,PB,172.4,341.3,511.1,682.1,1
Ejgayehu TAYE,5000m Women,Memorial Van Damme,2024,Diamond League,869.7,4,,,13.0,72.0,,,172.4,341.3,511.1,682.1,1
Caroline NYAGA,5000m Women,Memorial Van Damme,2024,Diamond League,870.1,5,,,13.0,72.0,,PB,172.4,341.3,511.1,682.1,1
Nozomi TANAKA,5000m Women,Memorial Van Damme,2024,Diamond League,871.9,6,,,13.0,72.0,,SB,172.4,341.3,511.1,682.1,1
Melknat WUDU,5000m Women,Memorial Van Damme,2024,Diamond League,876.7,7,,,13.0,72.0,,PB,172.4,341.3,511.1,682.1,1
Karissa SCHWEIZER,5000m Women,Memorial Van Damme,2024,Diamond League,876.9,8,,,13.0,72.0,,SB,172.4,341.3,511.1,682.1,1
Tsigie GEBRESELAMA,5000m Women,Memorial Van Damme,2024,Diamond League,889.8,9,,,13.0,72.0,,,172.4,341.3,511.1,682.1,1
Beatrice CHEBET,5000m Women,Doha Diamond League,2024,Diamond League,867.0,1,,,30.0,21.0,,WL,174.0,348.1,523.9,701.2,1
Ejgayehu TAYE,5000m Women,Doha Diamond League,2024,Diamond League,869.3,2,,,30.0,21.0,,SB,174.0,348.1,523.9,701.2,1
Medina EISA,5000m Women,Doha Diamond League,2024,Diamond League,874.1,3,,,30.0,21.0,,SB,174.0,348.1,523.9,701.2,1
Melknat WUDU,5000m Women,Doha Diamond League,2024,Diamond League,884.2,4,,,30.0,21.0,,SB,174.0,348.1,523.9,701.2,1
Gela HAMBESE,5000m Women,Doha Diamond League,2024,Diamond League,887.7,5,,,30.0,21.0,,PB,174.0,348.1,523.9,701.2,1
Senayet GETACHEW,5000m Women,Doha Diamond League,2024,Diamond League,893.0,6,,,30.0,21.0,,,174.0,348.1,523.9,701.2,1
Aynadis MEBRATU,5000m Women,Doha Diamond League,2024,Diamond League,893.6,7,,,30.0,21.0,,,174.0,348.1,523.9,701.2,1
Wubrist ASCHAL,5000m Women,Doha Diamond League,2024,Diamond League,896.4,8,,,30.0,21.0,,,174.0,348.1,523.9,701.2,1
Grace Loibach NAWOWUNA,5000m Women,Doha Diamond League,2024,Diamond League,901.1,9,,,30.0,21.0,,SB,174.0,348.1,523.9,701.2,1
Mekedes ALEMESHETE,5000m Women,Doha Diamond League,2024,Diamond League,906.2,10,,,30.0,21.0,,,174.0,348.1,523.9,701.2,1
Nozomi TANAKA,5000m Women,Doha Diamond League,2024,Diamond League,911.2,11,,,30.0,21.0,,SB,174.0,348.1,523.9,701.2,1
Asayech AYICHEW,5000m Women,Doha Diamond League,2024,Diamond League,920.1,12,,,30.0,21.0,,,174.0,348.1,523.9,701.2,1
Asmarech ANLEY,5000m Women,Doha Diamond League,2024,Diamond League,955.0,13,,,30.0,21.0,,,174.0,348.1,523.9,701.2,1
Elsabet AMARE,5000m Women,Doha Diamond League,2024,Diamond League,973.8,14,,,30.0,21.0,,SB,174.0,348.1,523.9,701.2,1
Tsigie GEBRESELAMA,5000m Women,Prefontaine Classic,2024,Diamond League,858.8,1,,,16.0,48.0,,WL|PB,170.3,343.9,520.6,694.0,1
Ejgayehu TAYE,5000m Women,Prefontaine Classic,2024,Diamond League,858.9,2,,,16.0,48.0,,SB,170.3,343.9,520.6,694.0,1
Freweyni HAILU,5000m Women,Prefontaine Classic,2024,Diamond League,860.6,3,,,16.0,48.0,,PB,170.3,343.9,520.6,694.0,1
Aynadis MEBRATU,5000m Women,Prefontaine Classic,2024,Diamond League,862.8,4,,,16.0,48.0,,PB,170.3,343.9,520.6,694.0,1
Birke HAYLOM,5000m Women,Prefontaine Classic,2024,Diamond League,863.7,5,,,16.0,48.0,,WU20R,170.3,343.9,520.6,694.0,1
Hirut MESHESHA,5000m Women,Prefontaine Classic,2024,Diamond League,873.4,6,,,16.0,48.0,,SB,170.3,343.9,520.6,694.0,1
Sifan HASSAN,5000m Women,Prefontaine Classic,2024,Diamond League,874.4,7,,,16.0,48.0,,SB,170.3,343.9,520.6,694.0,1
Fantaye BELAYNEH,5000m Women,Prefontaine Classic,2024,Diamond League,875.3,8,,,16.0,48.0,,PB,170.3,343.9,520.6,694.0,1
Weini KELATI FREZGHI,5000m Women,Prefontaine Classic,2024,Diamond League,875.4,9,,,16.0,48.0,,PB,170.3,343.9,520.6,694.0,1
Senayet GETACHEW,5000m Women,Prefontaine Classic,2024,Diamond League,877.4,10,,,16.0,48.0,,PB,170.3,343.9,520.6,694.0,1
Nozomi TANAKA,5000m Women,Prefontaine Classic,2024,Diamond League,887.7,11,,,16.0,48.0,,SB,170.3,343.9,520.6,694.0,1
Bosena MULATIE,5000m Women,Prefontaine Classic,2024,Diamond League,893.2,12,,,16.0,48.0,,PB,170.3,343.9,520.6,694.0,1
Ayal DAGNACHEW,5000m Women,Prefontaine Classic,2024,Diamond League,893.9,13,,,16.0,48.0,,,170.3,343.9,520.6,694.0,1
Karoline Bjerkeli GRÃ˜VDAL,5000m Women,Prefontaine Classic,2024,Diamond League,896.2,14,,,16.0,48.0,,SB,170.3,343.9,520.6,694.0,1
Lauren RYAN,5000m Women,Prefontaine Classic,2024,Diamond League,903.6,15,,,16.0,48.0,,,170.3,343.9,520.6,694.0,1
Emily INFELD,5000m Women,Prefontaine Classic,2024,Diamond League,912.5,16,,,16.0,48.0,,SB,170.3,343.9,520.6,694.0,1
Joselyn Daniely BREA,5000m Women,Prefontaine Classic,2024,Diamond League,913.0,17,,,16.0,48.0,,,170.3,343.9,520.6,694.0,1
Yenawa NBRET,5000m Women,Prefontaine Classic,2024,Diamond League,916.3,18,,,16.0,48.0,,,170.3,343.9,520.6,694.0,1
Teresiah Muthoni GATERI,5000m Women,Prefontaine Classic,2024,Diamond League,930.9,19,,,16.0,48.0,,,170.3,343.9,520.6,694.0,1
Margaret AKIDOR,5000m Women,Herculis,2024,Diamond League,879.5,1,,,24.0,85.0,,PB,172.0,344.7,524.0,711.7,1
Likina AMEBAW,5000m Women,Herculis,2024,Diamond League,880.4,2,,,24.0,85.0,,,172.0,344.7,524.0,711.7,1
Nozomi TANAKA,5000m Women,Herculis,2024,Diamond League,880.9,3,,,24.0,85.0,,SB,172.0,344.7,524.0,711.7,1
Fantaye BELAYNEH,5000m Women,Herculis,2024,Diamond League,880.9,4,,,24.0,85.0,,,172.0,344.7,524.0,711.7,1
Nadia BATTOCLETTI,5000m Women,Herculis,2024,Diamond League,881.1,5,,,24.0,85.0,,,172.0,344.7,524.0,711.7,1
Melknat WUDU,5000m Women,Herculis,2024,Diamond League,883.5,6,,,24.0,85.0,,,172.0,344.7,524.0,711.7,1
Marta ALEMAYO,5000m Women,Herculis,2024,Diamond League,883.8,7,,,24.0,85.0,,,172.0,344.7,524.0,711.7,1
Senayet GETACHEW,5000m Women,Herculis,2024,Diamond League,884.2,8,,,24.0,85.0,,,172.0,344.7,524.0,711.7,1
Weini KELATI FREZGHI,5000m Women,Herculis,2024,Diamond League,884.9,9,,,24.0,85.0,,,172.0,344.7,524.0,711.7,1
Mekedes ALEMESHETE,5000m Women,Herculis,2024,Diamond League,890.5,10,,,24.0,85.0,,,172.0,344.7,524.0,711.7,1
Lilian Kasait RENGERUK,5000m Women,Herculis,2024,Diamond League,896.0,11,,,24.0,85.0,,,172.0,344.7,524.0,711.7,1
Caroline NYAGA,5000m Women,Herculis,2024,Diamond League,903.1,12,,,24.0,85.0,,,172.0,344.7,524.0,711.7,1
Lauren RYAN,5000m Women,Herculis,2024,Diamond League,922.0,13,,,24.0,85.0,,,172.0,344.7,524.0,711.7,1
Hannah NUTTALL,5000m Women,Herculis,2024,Diamond League,937.2,14,,,24.0,85.0,,,172.0,344.7,524.0,711.7,1
Hagos GEBRHIWET,5000m Men,Bislett Games,2024,Diamond League,756.7,1,,,17.0,69.0,,NR|WL|MR,153.1,307.0,461.1,611.9,0
Yomif KEJELCHA,5000m Men,Bislett Games,2024,Diamond League,759.0,2,,,17.0,69.0,,PB,153.1,307.0,461.1,611.9,0
Jacob KIPLIMO,5000m Men,Bislett Games,2024,Diamond League,761.0,3,,,17.0,69.0,,PB,153.1,307.0,461.1,611.9,0
Thierry NDIKUMWENAYO,5000m Men,Bislett Games,2024,Diamond League,768.1,4,,,17.0,69.0,,PB,153.1,307.0,461.1,611.9,0
Addisu YIHUNE,5000m Men,Bislett Games,2024,Diamond League,769.7,5,,,17.0,69.0,,PB,153.1,307.0,461.1,611.9,0
Luis GRIJALVA,5000m Men,Bislett Games,2024,Diamond League,770.6,6,,,17.0,69.0,,NR|PB,153.1,307.0,461.1,611.9,0
Dominic Lokinyomo LOBALU,5000m Men,Bislett Games,2024,Diamond League,770.9,7,,,17.0,69.0,,NR|PB,153.1,307.0,461.1,611.9,0
Andreas ALMGREN,5000m Men,Bislett Games,2024,Diamond League,770.9,8,,,17.0,69.0,,NR|PB,153.1,307.0,461.1,611.9,0
Joshua CHEPTEGEI,5000m Men,Bislett Games,2024,Diamond League,771.9,9,,,17.0,69.0,,SB,153.1,307.0,461.1,611.9,0
Oscar CHELIMO,5000m Men,Bislett Games,2024,Diamond League,774.6,10,,,17.0,69.0,,PB,153.1,307.0,461.1,611.9,0
Jimmy GRESSIER,5000m Men,Bislett Games,2024,Diamond League,775.0,11,,,17.0,69.0,,NR|PB,153.1,307.0,461.1,611.9,0
Samuel TEFERA,5000m Men,Bislett Games,2024,Diamond League,775.8,12,,,17.0,69.0,,PB,153.1,307.0,461.1,611.9,0
Adriaan WILDSCHUTT,5000m Men,Bislett Games,2024,Diamond League,776.7,13,,,17.0,69.0,,NR|PB,153.1,307.0,461.1,611.9,0
Telahun Haile BEKELE,5000m Men,Bislett Games,2024,Diamond League,788.8,14,,,17.0,69.0,,SB,153.1,307.0,461.1,611.9,0
Stanley Waithaka MBURU,5000m Men,Bislett Games,2024,Diamond League,798.7,15,,,17.0,69.0,,SB,153.1,307.0,461.1,611.9,0
Ferdinand Kvan EDMAN,5000m Men,Bislett Games,2024,Diamond League,803.7,16,,,17.0,69.0,,PB,153.1,307.0,461.1,611.9,0
Per SVELA,5000m Men,Bislett Games,2024,Diamond League,805.7,17,,,17.0,69.0,,,153.1,307.0,461.1,611.9,0
Brian FAY,5000m Men,Bislett Games,2024,Diamond League,810.5,18,,,17.0,69.0,,,153.1,307.0,461.1,611.9,0
Awet Nftalem KIBRAB,5000m Men,Bislett Games,2024,Diamond League,824.5,19,,,17.0,69.0,,,153.1,307.0,461.1,611.9,0
Medina EISA,5000m Women,Rabat Diamond League,2024,Diamond League,874.2,1,,,23.0,41.0,,,172.4,344.7,520.8,702.7,1
Fotyen TESFAY,5000m Women,Rabat Diamond League,2024,Diamond League,874.2,2,,,23.0,41.0,,PB,172.4,344.7,520.8,702.7,1
Edinah JEBITOK,5000m Women,Rabat Diamond League,2024,Diamond League,875.6,3,,,23.0,41.0,,PB,172.4,344.7,520.8,702.7,1
Melknat WUDU,5000m Women,Rabat Diamond League,2024,Diamond League,879.8,4,,,23.0,41.0,,SB,172.4,344.7,520.8,702.7,1
Likina AMEBAW,5000m Women,Rabat Diamond League,2024,Diamond League,884.1,5,,,23.0,41.0,,PB,172.4,344.7,520.8,702.7,1
Maureen KOSTER,5000m Women,Rabat Diamond League,2024,Diamond League,890.7,6,,,23.0,41.0,,SB,172.4,344.7,520.8,702.7,1
Nadia BATTOCLETTI,5000m Women,Rabat Diamond League,2024,Diamond League,902.7,7,,,23.0,41.0,,SB,172.4,344.7,520.8,702.7,1
