1500_finish_s,3000_finish_s,5000_finish_s
212.21,458.22,1782.0
212.22,458.24,1791.0
212.22,458.24,1801.0
212.22,458.25,1834.0
212.23,458.25,1856.0
212.23,458.26,1872.0
212.23,458.26,1877.0
212.24,458.26,1882.0
212.24,458.27,1901.0
212.24,458.27,1903.0
212.25,458.28,1911.0
212.26,458.28,1918.0
212.27,458.28,1918.0
212.27,458.3,1923.0
212.27,458.3,1934.0
212.28,458.3,1934.0
212.28,458.3,1936.0
212.28,458.3,1950.0
212.28,458.3,1951.0
212.29,458.31,1964.0
212.29,458.32,1966.0
212.29,458.33,1973.0
212.29,458.33,1974.0
212.3,458.34,1977.0
212.3,458.34,1979.0
212.3,458.35,1982.0
212.3,458.36,1993.0
212.3,458.37,1999.0
212.3,458.37,2002.0
212.3,458.39,2008.0
212.3,458.39,2015.0
212.31,458.4,2016.0
212.31,458.4,2019.0
212.32,458.4,2029.0
212.32,458.41,2038.0
212.33,458.41,2039.0
212.34,458.42,2042.0
212.34,458.43,2046.0
212.34,458.44,2062.0
212.34,458.45,2074.0
212.34,458.45,2079.0
212.34,458.45,2088.0
212.34,458.46,2097.0
212.35,458.47,2100.0
212.35,458.48,2109.0
212.35,458.49,2111.0
212.35,458.5,2111.0
212.35,458.5,2116.0
212.35,458.5,2117.0
212.35,458.5,2124.0
212.36,458.51,2131.0
212.37,458.51,2133.0
212.37,458.53,2140.0
212.37,458.53,2152.0
212.37,458.55,2153.0
212.37,458.55,2158.0
212.37,458.56,2160.0
212.37,458.57,2164.0
212.37,458.57,2171.0
212.37,458.58,2184.0
212.38,458.6,2186.0
212.38,458.6,2192.0
212.38,458.62,2193.0
212.38,458.62,2196.0
212.38,458.62,2202.0
212.39,458.63,2204.0
212.39,458.64,2204.0
212.39,458.64,2212.0
212.39,458.64,2213.0
212.39,458.65,2237.0
212.4,458.65,2239.0
212.4,458.67,2240.0
212.4,458.67,2246.0
212.41,458.67,2255.0
212.41,458.69,2257.0
212.41,458.7,2258.0
212.41,458.7,2258.0
212.42,458.7,2258.0
212.42,458.7,2259.0
212.42,458.71,2259.0
212.42,458.72,2261.0
212.42,458.72,2271.0
212.43,458.72,2273.0
212.43,458.73,2280.0
212.43,458.73,2289.0
212.43,458.73,2290.0
212.43,458.74,2299.0
212.43,458.74,2317.0
212.44,458.75,2322.0
212.44,458.77,2323.0
212.44,458.77,2329.0
212.44,458.77,2336.0
212.44,458.78,2336.0
212.45,458.78,2347.0
212.45,458.78,2349.0
212.45,458.79,2349.0
212.45,458.8,2352.0
212.46,458.8,2358.0
212.46,458.81,2373.0
212.46,458.82,2373.0
212.47,458.82,2377.0
212.47,458.83,2387.0
212.47,458.83,2391.0
212.47,458.83,2397.0
212.47,458.83,2398.0
212.48,458.83,2408.0
212.48,458.84,2414.0
212.48,458.86,2435.0
212.48,458.88,2441.0
212.48,458.88,2442.0
212.49,458.89,2447.0
212.49,458.89,2449.0
212.49,458.9,2450.0
212.49,458.9,2451.0
212.5,458.9,2452.0
212.5,458.9,2452.0
212.5,458.9,2452.0
212.5,458.91,2456.0
212.51,458.92,2464.0
212.51,458.92,2464.0
212.51,458.92,2466.0
212.51,458.93,2466.0
212.52,458.93,2468.0
212.52,458.95,2470.0
212.52,458.95,2474.0
212.52,458.95,2474.0
212.52,458.95,2480.0
212.52,458.96,2482.0
212.53,458.96,2483.0
212.53,458.97,2491.0
212.54,458.97,2494.0
212.54,458.97,2500.0
212.54,458.98,2510.0
212.54,458.98,2511.0
212.55,458.98,2513.0
212.55,458.98,2517.0
212.55,459.0,2517.0
212.55,459.0,2519.0
212.56,459.01,2521.0
212.56,459.02,2531.0
212.56,459.02,2537.0
212.56,459.02,2537.0
212.57,459.02,2537.0
212.57,459.02,2541.0
212.57,459.03,2544.0
212.57,459.03,2555.0
212.57,459.04,2564.0
212.57,459.05,2565.0
212.57,459.05,2575.0
212.58,459.05,2592.0
212.58,459.07,2599.0
212.58,459.08,2616.0
212.58,459.08,2618.0
212.58,459.08,2625.0
212.59,459.09,2629.0
212.59,459.09,2632.0
212.59,459.1,2636.0
212.59,459.1,2645.0
212.59,459.1,2645.0
212.59,459.11,2666.0
212.59,459.12,2676.0
212.6,459.12,2677.0
212.6,459.12,2679.0
212.6,459.13,2694.0
212.6,459.15,2694.0
212.6,459.16,2699.0
212.6,459.16,2701.0
212.6,459.17,2714.0
212.61,459.17,2715.0
212.61,459.18,2734.0
212.61,459.19,2735.0
212.62,459.19,2735.0
212.62,459.19,2744.0
212.62,459.2,2759.0
212.63,459.21,2760.0
212.63,459.22,2765.0
212.63,459.22,2765.0
212.63,459.22,2766.0
212.64,459.22,2766.0
212.64,459.22,2767.0
212.65,459.22,2770.0
212.65,459.23,2796.0
212.65,459.23,2799.0
212.65,459.24,2801.0
212.66,459.24,2819.0
212.66,459.25,2820.0
212.66,459.25,2822.0
212.67,459.25,2825.0
212.67,459.27,2835.0
212.67,459.27,2835.0
212.67,459.27,2836.0
212.67,459.28,2842.0
212.67,459.28,2857.0
212.68,459.28,2858.0
212.68,459.29,2859.0
212.68,459.29,2859.0
212.68,459.29,2860.0
212.68,459.3,2861.0
212.68,459.3,2861.0
212.68,459.3,2870.0
212.68,459.3,2873.0
212.69,459.31,2873.0
212.69,459.32,2875.0
212.69,459.32,2875.0
212.69,459.34,2901.0
212.69,459.38,2902.0
212.69,459.38,2913.0
212.69,459.38,2916.0
212.7,459.39,2919.0
212.7,459.4,2932.0
212.7,459.4,2938.0
212.7,459.4,2941.0
212.7,459.4,2941.0
212.7,459.4,2958.0
212.7,459.41,2958.0
212.7,459.41,2958.0
212.7,459.42,2971.0
212.71,459.43,2982.0
212.71,459.43,2982.0
212.71,459.43,2986.0
212.71,459.43,2987.0
212.71,459.44,2997.0
212.71,459.45,3012.0
212.71,459.45,3015.0
212.72,459.45,3017.0
212.72,459.46,3020.0
212.72,459.47,3026.0
212.72,459.48,3027.0
212.72,459.5,3032.0
212.72,459.5,3034.0
212.73,459.5,3041.0
212.73,459.5,3054.0
212.73,459.5,3059.0
212.73,459.5,3060.0
